Year,Annual Defence Budget (in Cr),Defence R&D Budget (in Cr),Percentage of DRDO Budget to Defence Outlay
1961-62,313,3.1,1
1966-67,908.6,11.6,1.3
1971-72,1525.3,21.1,1.4
1976-77,2562.5,49.4,1.9
1981-82,4651.8,96.3,2.1
1986-87,10477.5,431,4.1
1991-92,13000,649.3,5
1996-97,29505,1457.7,4.9
2001-02,54265.7,3119.8,5.7
2006-07,85494.6,5361.2,6.3
2007-08 (XI FYP Period),91680.3,6104.5,6.7
2008-09 (XI FYP Period),114223.3,7699.05,6.7
2009-10 (XI FYP Period),141781.1,8475.4,6.6
2010-11 (XI FYP Period),154116.7,10148.9,6
2011-12 (XI FYP Period),170913.3,9893.8,5.8
2012-13 (RE)(XII FYP Period),178503.5,9841.9,5.5
2013-14 (BE)(XII FYP Period),203672.1,10610.2,5.2
